,level_0,index,Rooms,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Price,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small
181,181,181,3,2016,3.3,3.0,3.0,1.0,1910.3709677419354,,1910.3709677419354,-37.8415,144.9585,1532000.0,1,0,0,0,1,0,0,0,0,1,0
182,182,182,3,2016,3.3,3.0,2.0,2.0,325.0,,1910.3709677419354,-37.8413,144.95,3755000.0,1,0,0,0,1,0,0,0,0,1,0
183,183,183,4,2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,2140000.0,1,0,0,0,1,0,0,0,0,1,0
185,185,185,2,2016,3.3,2.0,1.0,1.0,162.0,,1910.3709677419354,-37.8416,144.9488,1750000.0,1,0,0,0,1,0,0,0,0,1,0
186,186,186,2,2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,980000.0,1,0,0,0,1,0,0,0,0,1,0
190,190,190,3,2016,3.3,3.0,2.0,0.0,152.0,,1910.3709677419354,-37.8488,144.9551,2030000.0,1,0,0,0,1,0,0,0,1,0,0
191,191,191,3,2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,1740000.0,1,0,0,1,0,0,0,0,0,1,0
192,192,192,3,2016,3.3,3.0,3.0,1.0,1910.3709677419354,,1910.3709677419354,-37.8399,144.9577,2800000.0,1,0,0,0,0,0,0,1,0,1,0
193,193,193,1,2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,985000.0,1,0,0,0,1,0,0,0,0,1,0
195,195,195,4,2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2000000.0,1,0,0,0,1,0,0,0,0,0,1
196,196,196,3,2016,6.4,3.0,2.0,2.0,208.0,,2013.0,-37.7854,145.0325,1110000.0,1,0,0,0,1,0,0,0,1,0,0
197,197,197,3,2017,6.4,3.0,2.0,2.0,411.0,,1954.56,-37.7713,145.0279,1492000.0,1,0,0,0,1,0,0,0,1,0,0
201,201,201,4,2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,1717500.0,1,0,0,0,1,0,0,0,0,1,0
202,202,202,5,2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,2840000.0,1,0,0,0,1,0,0,0,1,0,0
204,204,204,2,2016,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,525500.0,0,0,1,0,1,0,0,0,0,1,0
205,205,205,2,2016,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,805000.0,0,1,0,0,1,0,0,0,0,1,0
206,206,206,2,2016,6.4,2.0,1.0,1.0,1954.56,,1954.56,-37.7773,145.0314,465000.0,0,0,1,0,1,0,0,0,0,1,0
209,209,209,3,2016,6.4,3.0,3.0,2.0,686.0,,1954.56,-37.78,145.0341,2000000.0,1,0,0,1,0,0,0,0,1,0,0
210,210,210,3,2016,6.4,3.0,1.0,2.0,592.0,,1954.56,-37.7755,145.0288,1540000.0,1,0,0,0,1,0,0,0,1,0,0
213,213,213,2,2017,6.4,2.0,1.0,1.0,183.0,,1954.56,-37.7747,145.0264,820000.0,0,0,1,0,1,0,0,0,1,0,0
214,214,214,4,2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,1830000.0,1,0,0,0,1,0,0,0,1,0,0
215,215,215,4,2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,2100000.0,1,0,0,0,1,0,0,0,1,0,0
216,216,216,3,2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,865000.0,1,0,0,0,0,0,1,0,1,0,0
217,217,217,2,2016,6.4,2.0,1.0,1.0,1954.56,60.0,1960.0,-37.7773,145.0314,390000.0,0,0,1,0,0,0,0,1,1,0,0
218,218,218,2,2016,6.4,0.0,1.0,0.0,1954.56,,1954.56,-37.7848,145.025,650000.0,0,1,0,0,0,0,1,0,0,0,1
219,219,219,2,2017,6.4,2.0,1.0,1.0,1954.56,61.0,1965.0,-37.7805,145.0262,512000.0,0,0,1,0,1,0,0,0,0,1,0
224,224,224,3,2016,6.4,3.0,1.0,2.0,979.0,,1954.56,-37.7792,145.029,1165000.0,1,0,0,0,1,0,0,0,1,0,0
226,226,226,4,2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,1900000.0,1,0,0,0,0,0,1,0,0,1,0
228,228,228,3,2016,6.4,3.0,0.0,0.0,597.0,,1954.56,-37.7781,145.0284,1485000.0,1,0,0,0,0,0,1,0,0,1,0
229,229,229,4,2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,1950000.0,1,0,0,0,1,0,0,0,1,0,0
230,230,230,3,2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,520000.0,1,0,0,0,0,0,0,1,0,1,0
231,231,231,5,2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,1525000.0,1,0,0,0,1,0,0,0,0,1,0
232,232,232,2,2016,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,720000.0,0,1,0,0,1,0,0,0,1,0,0
233,233,233,3,2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,1120000.0,1,0,0,0,1,0,0,0,0,0,1
234,234,234,4,2016,13.8,4.0,1.0,4.0,655.0,,1981.6530612244899,-37.868,144.8154,780000.0,1,0,0,1,0,0,0,0,0,1,0
235,235,235,4,2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,1780000.0,1,0,0,0,0,0,1,0,0,1,0
236,236,236,3,2016,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,630000.0,0,0,1,0,1,0,0,0,0,0,1
237,237,237,2,2016,13.8,2.0,1.0,1.0,65.0,,1981.6530612244899,-37.8693,144.8171,406000.0,0,0,1,0,0,0,1,0,1,0,0
238,238,238,3,2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,660000.0,1,0,0,0,0,0,0,1,0,1,0
239,239,239,3,2016,13.8,3.0,1.0,1.0,530.0,,1981.6530612244899,-37.8594,144.817,683500.0,1,0,0,0,1,0,0,0,0,1,0
241,241,241,2,2016,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,580000.0,0,0,1,0,1,0,0,0,0,0,1
242,242,242,3,2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,1335000.0,1,0,0,0,1,0,0,0,1,0,0
243,243,243,3,2016,13.8,3.0,2.0,2.0,280.0,,1997.0,-37.8734,144.8143,800000.0,0,1,0,0,0,0,1,0,1,0,0
244,244,244,2,2016,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,510000.0,0,0,1,0,1,0,0,0,0,1,0
245,245,245,4,2016,13.8,4.0,2.0,2.0,695.0,,1981.6530612244899,-37.8733,144.8147,1070000.0,1,0,0,0,1,0,0,0,0,0,1
246,246,246,2,2016,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,425000.0,0,0,1,0,1,0,0,0,1,0,0
247,247,247,3,2016,13.8,3.0,2.0,2.0,230.0,,1981.6530612244899,-37.8646,144.827,605000.0,0,0,1,0,1,0,0,0,0,1,0
248,248,248,3,2017,13.8,3.0,2.0,2.0,197.0,152.0,1981.6530612244899,-37.8579,144.8181,705000.0,0,1,0,0,1,0,0,0,1,0,0
249,249,249,2,2017,13.8,2.0,1.0,1.0,1981.6530612244899,65.0,1965.0,-37.8678,144.8384,391000.0,0,0,1,0,0,0,1,0,0,1,0
250,250,250,2,2017,13.8,2.0,1.0,1.0,1981.6530612244899,,1981.6530612244899,-37.8659,144.831,440000.0,0,0,1,0,0,0,1,0,1,0,0
251,251,251,4,2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,845000.0,1,0,0,0,1,0,0,0,1,0,0
253,253,253,3,2016,13.8,3.0,2.0,2.0,211.0,176.0,1981.6530612244899,-37.8698,144.816,743000.0,0,1,0,0,0,0,1,0,0,0,1
255,255,255,3,2016,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,730000.0,0,0,1,0,0,0,1,0,0,0,1
257,257,257,3,2016,13.8,3.0,1.0,4.0,625.0,,1960.0,-37.8611,144.8114,635000.0,1,0,0,0,1,0,0,0,0,1,0
258,258,258,2,2016,13.8,2.0,1.0,1.0,168.0,,1981.6530612244899,-37.8676,144.8202,620000.0,0,0,1,0,0,0,1,0,1,0,0
259,259,259,2,2016,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,447000.0,0,0,1,0,1,0,0,0,0,1,0
260,260,260,3,2016,13.8,3.0,2.0,1.0,70.0,,1981.6530612244899,-37.868,144.8287,730000.0,0,0,1,0,0,0,1,0,0,0,1
261,261,261,3,2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,678000.0,1,0,0,0,1,0,0,0,1,0,0
262,262,262,2,2016,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,580000.0,0,0,1,1,0,0,0,0,0,1,0
263,263,263,3,2016,13.8,3.0,1.0,2.0,363.0,,1981.6530612244899,-37.8674,144.8375,712000.0,1,0,0,0,1,0,0,0,1,0,0
264,264,264,3,2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,840000.0,1,0,0,0,0,0,1,0,0,1,0
265,265,265,3,2016,13.8,3.0,1.0,2.0,724.0,,1981.6530612244899,-37.8672,144.817,980000.0,1,0,0,0,1,0,0,0,0,0,1
267,267,267,3,2016,13.8,3.0,2.0,0.0,265.0,,1981.6530612244899,-37.8583,144.8172,605100.0,0,1,0,0,1,0,0,0,1,0,0
