,level_0,index,Rooms,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small,Price
46,63,63,4,2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,1,0,0,0,1,0,0,0,0,1,0,896679.9999999999
47,64,64,3,2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,1,0,0,1,0,0,0,0,1,0,0,882900.0000000001
48,65,65,3,2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,1,0,0,0,1,0,0,0,0,1,0,779350.0
49,67,67,3,2016,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,0,1,0,0,0,0,1,0,1,0,0,626400.0
50,68,68,3,2016,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,0,1,0,0,0,0,1,0,1,0,0,956999.9999999999
51,69,69,3,2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,1,0,0,0,1,0,0,0,1,0,0,794600.0
52,71,71,2,2016,13.5,2.0,1.0,1.0,141.0,76.0,1983.15625,-37.7202,144.8797,0,0,1,0,1,0,0,0,1,0,0,591600.0
53,77,77,4,2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,1,0,0,0,1,0,0,0,0,1,0,1043999.9999999999
54,78,78,2,2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,1,0,0,0,1,0,0,0,1,0,0,1479000.0
55,80,80,3,2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,1,0,0,1,0,0,0,0,0,1,0,3106500.0
56,81,81,3,2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,1,0,0,0,1,0,0,0,0,1,0,2016500.0000000002
57,82,82,2,2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,1,0,0,0,1,0,0,0,0,1,0,1565240.0
58,85,85,4,2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,1,0,0,0,1,0,0,0,0,1,0,2668000.0
59,87,87,3,2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,1,0,0,0,0,0,0,1,0,1,0,2087999.9999999998
60,88,88,2,2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,1,0,0,0,1,0,0,0,0,1,0,2459200.0
61,90,90,3,2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,1,0,0,0,1,0,0,0,0,1,0,2087999.9999999998
62,92,92,3,2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,1,0,0,0,1,0,0,0,0,1,0,3033400.0
63,95,95,3,2016,3.3,3.0,2.0,2.0,1910.3709677419356,85.0,2000.0,-37.8451,144.9511,1,0,0,0,1,0,0,0,0,1,0,1589200.0
64,98,98,2,2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,1,0,0,0,1,0,0,0,0,1,0,1534100.0
65,99,99,2,2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,1,0,0,0,1,0,0,0,0,1,0,1812499.9999999998
66,100,100,3,2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,1,0,0,0,0,0,0,1,0,1,0,2320000.0
67,102,102,3,2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,1,0,0,0,1,0,0,0,0,1,0,3280900.0000000005
68,103,103,4,2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,1,0,0,0,0,0,0,1,0,1,0,3248000.0
69,105,105,3,2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,1,0,0,0,0,0,1,0,0,1,0,2436000.0
70,106,106,3,2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,1,0,0,1,0,0,0,0,0,1,0,2320000.0
71,107,107,1,2017,3.3,1.0,1.0,0.0,1910.3709677419356,34.0,1970.0,-37.8421,144.9517,0,0,1,0,1,0,0,0,0,1,0,482325.00000000006
72,108,108,4,2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,1,0,0,0,1,0,0,0,0,1,0,5161150.0
73,113,113,4,2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,1,0,0,0,1,0,0,0,0,1,0,2482400.0
74,115,115,2,2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,1,0,0,0,1,0,0,0,0,1,0,1136800.0
75,117,117,3,2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,1,0,0,1,0,0,0,0,0,1,0,2018399.9999999998
76,119,119,1,2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,1,0,0,0,1,0,0,0,0,1,0,1142600.0
77,120,120,4,2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,1,0,0,0,1,0,0,0,0,0,1,2320000.0
78,123,123,4,2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,1,0,0,0,1,0,0,0,0,1,0,1992299.9999999998
79,124,124,5,2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,1,0,0,0,1,0,0,0,1,0,0,3294400.0
80,125,125,2,2016,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,0,0,1,0,1,0,0,0,0,1,0,609580.0
81,126,126,2,2016,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,0,1,0,0,1,0,0,0,0,1,0,933799.9999999999
82,131,131,4,2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,1,0,0,0,1,0,0,0,1,0,0,2122800.0
83,132,132,4,2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,1,0,0,0,1,0,0,0,1,0,0,2436000.0
84,133,133,3,2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,1,0,0,0,0,0,1,0,1,0,0,1003399.9999999999
85,134,134,2,2016,6.4,2.0,1.0,1.0,1954.56,60.0,1960.0,-37.7773,145.0314,0,0,1,0,0,0,0,1,1,0,0,452399.99999999994
86,136,136,2,2017,6.4,2.0,1.0,1.0,1954.56,61.0,1965.0,-37.7805,145.0262,0,0,1,0,1,0,0,0,0,1,0,558080.0
87,138,138,4,2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,1,0,0,0,0,0,1,0,0,1,0,2204000.0
88,140,140,4,2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,1,0,0,0,1,0,0,0,1,0,0,2262000.0
89,141,141,3,2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,1,0,0,0,0,0,0,1,0,1,0,603200.0
90,142,142,5,2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,1,0,0,0,1,0,0,0,0,1,0,1768999.9999999998
91,143,143,2,2016,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,0,1,0,0,1,0,0,0,1,0,0,835200.0
92,144,144,3,2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,1,0,0,0,1,0,0,0,0,0,1,1220800.0
93,146,146,4,2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,1,0,0,0,0,0,1,0,0,1,0,2064799.9999999998
94,147,147,3,2016,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,0,0,1,0,1,0,0,0,0,0,1,730800.0
95,149,149,3,2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,1,0,0,0,0,0,0,1,0,1,0,765600.0
96,151,151,2,2016,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,0,0,1,0,1,0,0,0,0,0,1,672800.0
97,152,152,3,2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,1,0,0,0,1,0,0,0,1,0,0,1548600.0
98,154,154,2,2016,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,0,0,1,0,1,0,0,0,0,1,0,591600.0
99,156,156,2,2016,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,0,0,1,0,1,0,0,0,1,0,0,492999.99999999994
100,158,158,3,2017,13.8,3.0,2.0,2.0,197.0,152.0,1981.6530612244896,-37.8579,144.8181,0,1,0,0,1,0,0,0,1,0,0,768450.0
101,159,159,2,2017,13.8,2.0,1.0,1.0,1981.6530612244896,65.0,1965.0,-37.8678,144.8384,0,0,1,0,0,0,1,0,0,1,0,426190.00000000006
102,161,161,4,2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,1,0,0,0,1,0,0,0,1,0,0,921050.0000000001
103,162,162,3,2016,13.8,3.0,2.0,2.0,211.0,176.0,1981.6530612244896,-37.8698,144.816,0,1,0,0,0,0,1,0,0,0,1,861879.9999999999
104,163,163,3,2016,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,0,0,1,0,0,0,1,0,0,0,1,846799.9999999999
105,166,166,2,2016,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,0,0,1,0,1,0,0,0,0,1,0,518519.99999999994
106,168,168,3,2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,1,0,0,0,1,0,0,0,1,0,0,786480.0
107,169,169,2,2016,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,0,0,1,1,0,0,0,0,0,1,0,672800.0
108,171,171,3,2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,1,0,0,0,0,0,1,0,0,1,0,915600.0000000001
109,175,175,3,2016,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,0,0,1,0,1,0,0,0,0,1,0,669320.0
110,179,179,2,2016,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,1,0,0,0,0,0,1,0,1,0,0,994119.9999999999
111,181,181,3,2016,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,0,0,1,0,0,0,1,0,0,0,1,846799.9999999999
112,185,185,2,2016,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,1,0,0,0,0,0,1,0,0,0,1,621296.0
113,186,186,5,2016,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,1,0,0,0,1,0,0,0,0,0,1,1258600.0
114,187,187,3,2016,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,1,0,0,0,1,0,0,0,0,1,0,905959.9999999999
115,189,189,2,2017,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,0,1,0,0,1,0,0,0,1,0,0,458890.00000000006
116,191,191,3,2016,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,1,0,0,0,1,0,0,0,0,0,1,792280.0
117,193,193,3,2016,11.1,3.0,2.0,1.0,1977.195652173913,130.0,2012.0,-37.8379,144.8583,1,0,0,0,0,0,0,1,0,1,0,835200.0
118,194,194,3,2016,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,1,0,0,0,1,0,0,0,0,1,0,682080.0
119,195,195,3,2016,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,1,0,0,1,0,0,0,0,0,1,0,823600.0
120,196,196,4,2016,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,1,0,0,0,0,0,1,0,0,1,0,1014999.9999999999
121,200,200,3,2016,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,1,0,0,0,1,0,0,0,1,0,0,783000.0
122,201,201,3,2016,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,1,0,0,0,1,0,0,0,0,1,0,821280.0
123,204,204,3,2016,11.1,3.0,1.0,3.0,602.0,603.0,1977.195652173913,-37.8327,144.8451,1,0,0,0,0,0,1,0,1,0,0,893199.9999999999
124,206,206,4,2016,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,1,0,0,0,0,0,1,0,0,0,1,803880.0
125,207,207,3,2016,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,1,0,0,0,0,0,1,0,0,0,1,719200.0
126,208,208,3,2016,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,1,0,0,0,1,0,0,0,0,1,0,845059.9999999999
127,209,209,3,2016,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,1,0,0,0,1,0,0,0,1,0,0,1079960.0
128,213,213,3,2017,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,1,0,0,0,1,0,0,0,1,0,0,888350.0000000001
129,217,217,4,2016,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,1,0,0,0,0,0,1,0,0,1,0,1392000.0
130,220,220,2,2016,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,0,0,1,0,1,0,0,0,0,1,0,338720.0
131,221,221,2,2016,6.3,2.0,1.0,1.0,1942.4653465346532,76.0,1964.0,-37.8543,145.0262,0,0,1,0,1,0,0,0,1,0,0,694840.0
132,223,223,3,2016,6.3,3.0,2.0,2.0,1942.4653465346532,100.0,1998.0,-37.8552,145.016,0,0,1,0,1,0,0,0,0,1,0,1154200.0
133,224,224,3,2016,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,0,1,0,0,1,0,0,0,1,0,0,1397800.0
134,225,225,3,2016,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,1,0,0,0,1,0,0,0,1,0,0,2249240.0
135,227,227,3,2017,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,1,0,0,0,1,0,0,0,0,1,0,2038300.0000000002
136,229,229,3,2017,6.3,3.0,2.0,2.0,1942.4653465346532,165.0,1995.0,-37.8537,145.0267,0,1,0,0,0,0,1,0,1,0,0,2090620.0000000002
137,231,231,3,2017,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,1,0,0,0,1,0,0,0,0,1,0,2234500.0
138,236,236,3,2016,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262,0,0,1,1,0,0,0,0,0,1,0,852599.9999999999
139,240,240,1,2016,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,1,0,0,0,0,0,1,0,1,0,0,1664600.0
140,241,241,1,2016,6.3,1.0,1.0,1.0,1942.4653465346532,38.0,1975.0,-37.8619,145.0185,0,0,1,1,0,0,0,0,1,0,0,324800.0
141,244,244,2,2016,6.3,2.0,1.0,1.0,1942.4653465346532,73.0,1970.0,-37.8574,145.0174,0,0,1,0,1,0,0,0,1,0,0,687300.0
142,245,245,2,2016,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,1,0,0,0,1,0,0,0,0,1,0,1403600.0
143,246,246,4,2016,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,1,0,0,0,1,0,0,0,0,1,0,3249160.0
144,248,248,3,2016,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,1,0,0,1,0,0,0,0,0,1,0,2087999.9999999998
145,249,249,4,2016,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264,1,0,0,1,0,0,0,0,1,0,0,2552000.0
146,251,251,6,2016,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,-37.8602,145.013,1,0,0,0,1,0,0,0,0,1,0,6409000.0
147,256,256,1,2017,6.3,1.0,1.0,1.0,1942.4653465346532,53.0,1970.0,-37.8531,145.0115,0,0,1,0,0,0,1,0,1,0,0,479600.00000000006
148,259,259,3,2016,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149,1,0,0,0,0,0,0,1,1,0,0,1508000.0
149,261,261,2,2016,6.3,2.0,1.0,1.0,1942.4653465346532,74.0,1969.0,-37.8573,145.0186,0,0,1,0,0,0,1,0,0,1,0,816640.0
150,262,262,2,2016,6.3,3.0,1.0,1.0,1942.4653465346532,98.0,1970.0,-37.8596,145.0198,0,0,1,0,0,0,0,1,0,1,0,719200.0
151,263,263,3,2016,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158,1,0,0,0,1,0,0,0,0,1,0,2204000.0
152,266,266,2,2017,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,-37.8573,145.0186,0,0,1,0,1,0,0,0,1,0,0,773900.0
153,268,268,2,2017,6.3,2.0,1.0,1.0,1942.4653465346532,88.0,1970.0,-37.8593,145.0156,0,0,1,0,1,0,0,0,1,0,0,651820.0
154,269,269,3,2017,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173,1,0,0,0,1,0,0,0,0,1,0,1400650.0
155,271,271,2,2016,6.3,1.0,1.0,1.0,1942.4653465346532,76.0,1970.0,-37.8618,145.0183,0,0,1,0,1,0,0,0,1,0,0,603200.0
156,272,272,4,2016,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,-37.8574,145.016,1,0,0,0,1,0,0,0,1,0,0,4205000.0
157,273,273,4,2016,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,-37.8582,145.0138,1,0,0,0,0,0,0,1,0,1,0,4872000.0
158,274,274,3,2016,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135,0,1,0,0,1,0,0,0,1,0,0,1277160.0
159,275,275,3,2016,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,-37.8557,145.0264,1,0,0,0,1,0,0,0,0,1,0,4074499.9999999995
160,277,277,3,2016,6.3,2.0,1.0,1.0,1942.4653465346532,91.0,1940.0,-37.853,145.0264,0,0,1,0,1,0,0,0,1,0,0,1008039.9999999999
161,280,280,1,2016,6.3,1.0,1.0,1.0,1942.4653465346532,53.0,2013.0,-37.8549,145.0113,0,0,1,0,1,0,0,0,1,0,0,657720.0
162,284,284,3,2016,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,-37.7777,144.9195,1,0,0,0,1,0,0,0,1,0,0,1090400.0
163,285,285,2,2016,5.9,2.0,1.0,1.0,1938.232,62.0,1980.0,-37.7761,144.9201,0,0,1,0,0,0,1,0,0,1,0,541720.0
164,286,286,3,2017,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,-37.7777,144.9221,1,0,0,0,0,0,1,0,1,0,0,1504200.0
165,287,287,2,2017,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,0,0,1,0,0,0,0,1,1,0,0,534100.0
166,288,288,4,2017,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,-37.7729,144.9179,1,0,0,0,1,0,0,0,0,1,0,2016500.0000000002
167,290,290,3,2016,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,1,0,0,0,0,0,1,0,1,0,0,1126360.0
168,291,291,2,2016,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,-37.7776,144.9142,1,0,0,1,0,0,0,0,1,0,0,823600.0
169,292,292,6,2016,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,-37.7721,144.9184,1,0,0,1,0,0,0,0,0,1,0,2813000.0
170,293,293,2,2016,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,-37.7745,144.9093,1,0,0,0,0,0,1,0,0,0,1,869999.9999999999
