,Unnamed: 0,level_0,index,Rooms,Date,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Price,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small
17,35,35,35,3,2016,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,1176500.0,1,0,0,0,1,0,0,0,0,0,1
18,36,36,36,3,2016,3.0,1.0,0.0,183.0,,1942.5454545454545,-37.8022,144.9975,955000.0,1,0,0,0,1,0,0,0,0,1,0
19,37,37,37,2,2016,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,890000.0,1,0,0,0,1,0,0,0,0,1,0
20,38,38,38,4,2017,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,1330000.0,1,0,0,1,0,0,0,0,0,1,0
21,40,40,40,3,2017,3.0,2.0,2.0,1942.5454545454545,,2010.0,-37.8093,144.9959,900000.0,0,1,0,0,1,0,0,0,0,0,1
22,41,41,41,3,2017,3.0,2.0,2.0,4290.0,27.0,1942.5454545454545,-37.8078,144.9965,1090000.0,0,0,1,0,1,0,0,0,1,0,0
23,42,42,42,2,2016,2.0,1.0,1.0,1942.5454545454545,60.0,1970.0,-37.8015,144.9972,500000.0,0,0,1,0,1,0,0,0,0,1,0
24,43,43,43,2,2016,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,1100000.0,1,0,0,1,0,0,0,0,0,1,0
25,44,44,44,2,2016,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,1315000.0,1,0,0,0,1,0,0,0,0,1,0
26,48,48,48,1,2016,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8016,144.9988,426000.0,0,0,1,0,0,0,1,0,0,1,0
27,49,49,49,3,2016,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,1447500.0,1,0,0,1,0,0,0,0,1,0,0
28,50,50,50,1,2016,1.0,1.0,1.0,1942.5454545454545,50.0,1942.5454545454545,-37.8078,144.9965,457000.0,0,0,1,0,1,0,0,0,1,0,0
29,51,51,51,2,2016,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,1135000.0,1,0,0,0,1,0,0,0,1,0,0
30,53,53,53,4,2016,4.0,3.0,1.0,1942.5454545454545,,1942.5454545454545,-37.7994,144.9965,1542000.0,1,0,0,0,1,0,0,0,0,1,0
31,55,55,55,3,2017,3.0,2.0,2.0,147.0,18.0,1942.5454545454545,-37.805,144.9943,1290000.0,1,0,0,0,1,0,0,0,0,1,0
32,56,56,56,3,2017,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,1290000.0,1,0,0,0,1,0,0,0,0,1,0
33,57,57,57,1,2016,1.0,1.0,1.0,1942.5454545454545,50.0,2013.0,-37.8055,144.9961,470000.0,0,0,1,0,1,0,0,0,1,0,0
34,58,58,58,2,2016,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,1180000.0,1,0,0,0,1,0,0,0,1,0,0
35,59,59,59,3,2016,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,1195000.0,1,0,0,0,0,0,1,0,1,0,0
36,61,61,61,2,2016,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,1012500.0,1,0,0,0,1,0,0,0,1,0,0
37,63,63,63,2,2016,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,1030000.0,1,0,0,0,1,0,0,0,0,1,0
38,66,66,66,3,2016,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,840000.0,0,1,0,1,0,0,0,0,1,0,0
39,67,67,67,3,2016,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,730000.0,1,0,0,0,0,0,0,1,1,0,0
40,68,68,68,3,2017,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,770000.0,1,0,0,0,0,0,1,0,1,0,0
41,70,70,70,2,2017,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,603000.0,1,0,0,0,1,0,0,0,1,0,0
42,71,71,71,3,2017,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,700000.0,0,1,0,0,1,0,0,0,0,1,0
43,72,72,72,3,2017,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,600000.0,1,0,0,0,1,0,0,0,0,0,1
44,73,73,73,2,2017,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,500000.0,0,0,1,0,0,0,0,1,1,0,0
45,79,79,79,3,2016,2.0,1.0,1.0,620.0,,1983.15625,-37.7173,144.8872,720000.0,1,0,0,0,1,0,0,0,1,0,0
46,80,80,80,4,2016,3.0,1.0,2.0,597.0,127.0,1983.15625,-37.7259,144.8792,785000.0,1,0,0,0,1,0,0,0,0,0,1
47,81,81,81,6,2016,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,725000.0,1,0,0,0,0,0,1,0,1,0,0
48,82,82,82,2,2016,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,450000.0,0,1,0,0,1,0,0,0,1,0,0
49,83,83,83,2,2016,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,515000.0,0,0,1,0,1,0,0,0,1,0,0
50,85,85,85,2,2016,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,530000.0,0,0,1,0,1,0,0,0,1,0,0
51,86,86,86,3,2016,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,895000.0,1,0,0,1,0,0,0,0,0,1,0
52,88,88,88,3,2016,3.0,1.0,1.0,1983.15625,105.0,1950.0,-37.7217,144.8783,805000.0,1,0,0,0,1,0,0,0,1,0,0
53,90,90,90,3,2017,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,752000.0,0,0,1,0,1,0,0,0,1,0,0
54,94,94,94,2,2016,2.0,1.0,1.0,192.0,,1983.15625,-37.7177,144.8787,440000.0,0,0,1,0,1,0,0,0,1,0,0
55,96,96,96,5,2016,3.0,2.0,2.0,596.0,,1983.15625,-37.7248,144.8699,755000.0,1,0,0,1,0,0,0,0,0,0,1
56,98,98,98,3,2016,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,700000.0,0,1,0,1,0,0,0,0,0,1,0
57,100,100,100,3,2016,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,830000.0,1,0,0,0,1,0,0,0,1,0,0
58,101,101,101,2,2016,2.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863,462500.0,0,0,1,0,1,0,0,0,1,0,0
59,102,102,102,3,2016,3.0,2.0,2.0,657.0,,1983.15625,-37.7269,144.8742,670000.0,1,0,0,0,0,0,1,0,1,0,0
60,103,103,103,2,2016,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,675000.0,1,0,0,0,1,0,0,0,1,0,0
61,104,104,104,3,2016,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,1042000.0,1,0,0,0,1,0,0,0,1,0,0
62,105,105,105,3,2016,3.0,1.0,1.0,775.0,,1983.15625,-37.7231,144.8835,910000.0,1,0,0,0,1,0,0,0,0,1,0
63,106,106,106,4,2016,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,773000.0,1,0,0,0,1,0,0,0,0,1,0
64,108,108,108,3,2017,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,810000.0,1,0,0,1,0,0,0,0,1,0,0
65,109,109,109,3,2017,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,715000.0,1,0,0,0,1,0,0,0,0,1,0
66,110,110,110,3,2017,3.0,1.0,3.0,614.0,,1983.15625,-37.7194,144.8827,790000.0,1,0,0,0,1,0,0,0,1,0,0
67,112,112,112,3,2016,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,540000.0,0,1,0,0,0,0,1,0,1,0,0
68,113,113,113,3,2016,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,825000.0,0,1,0,0,0,0,1,0,1,0,0
69,114,114,114,3,2016,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,685000.0,1,0,0,0,1,0,0,0,1,0,0
70,116,116,116,3,2016,3.0,1.0,1.0,623.0,,1983.15625,-37.7184,144.882,805000.0,1,0,0,0,1,0,0,0,1,0,0
71,117,117,117,2,2016,2.0,1.0,1.0,141.0,76.0,1983.15625,-37.7202,144.8797,510000.0,0,0,1,0,1,0,0,0,1,0,0
72,118,118,118,3,2016,3.0,2.0,1.0,212.0,,1983.15625,-37.7181,144.8824,612000.0,1,0,0,0,1,0,0,0,1,0,0
73,119,119,119,3,2016,3.0,1.0,2.0,612.0,,1983.15625,-37.7169,144.8815,662000.0,1,0,0,0,1,0,0,0,0,1,0
74,120,120,120,4,2016,4.0,3.0,2.0,532.0,,1983.15625,-37.7263,144.869,978000.0,1,0,0,0,1,0,0,0,1,0,0
75,122,122,122,3,2017,3.0,1.0,1.0,585.0,,1983.15625,-37.72,144.878,720000.0,1,0,0,1,0,0,0,0,1,0,0
76,128,128,128,4,2016,4.0,1.0,2.0,509.0,,1983.15625,-37.7261,144.8785,765000.0,1,0,0,0,1,0,0,0,0,0,1
77,129,129,129,4,2016,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,900000.0,1,0,0,0,1,0,0,0,0,1,0
78,133,133,133,2,2016,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,1275000.0,1,0,0,0,1,0,0,0,1,0,0
79,134,134,134,2,2016,2.0,1.0,0.0,159.0,,1910.3709677419356,-37.845,144.9538,1455000.0,1,0,0,0,1,0,0,0,0,1,0
80,135,135,135,3,2017,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,2850000.0,1,0,0,1,0,0,0,0,0,1,0
81,136,136,136,3,2017,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,1850000.0,1,0,0,0,1,0,0,0,0,1,0
82,138,138,138,2,2017,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,1436000.0,1,0,0,0,1,0,0,0,0,1,0
83,140,140,140,2,2016,1.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484,1110000.0,1,0,0,0,1,0,0,0,0,1,0
84,141,141,141,2,2016,2.0,1.0,1.0,167.0,,1910.3709677419356,-37.8405,144.9521,1550000.0,1,0,0,0,1,0,0,0,0,0,1
85,142,142,142,4,2016,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,2300000.0,1,0,0,0,1,0,0,0,0,1,0
86,144,144,144,3,2016,3.0,2.0,2.0,718.0,,1910.3709677419356,-37.8443,144.9598,1550000.0,0,1,0,0,0,0,0,1,0,1,0
87,145,145,145,3,2016,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,1800000.0,1,0,0,0,0,0,0,1,0,1,0
88,147,147,147,2,2016,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,2120000.0,1,0,0,0,1,0,0,0,0,1,0
89,148,148,148,3,2016,3.0,1.0,1.0,253.0,,1910.3709677419356,-37.8443,144.9579,1800000.0,1,0,0,0,0,0,0,1,0,1,0
90,149,149,149,3,2016,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,1800000.0,1,0,0,0,1,0,0,0,0,1,0
91,151,151,151,2,2016,2.0,1.0,0.0,240.0,,1910.3709677419356,-37.8379,144.9539,1810000.0,1,0,0,1,0,0,0,0,0,1,0
92,152,152,152,3,2016,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,2615000.0,1,0,0,0,1,0,0,0,0,1,0
93,153,153,153,5,2016,5.0,2.0,1.0,237.0,,1910.3709677419356,-37.8436,144.9557,2100000.0,1,0,0,0,1,0,0,0,0,1,0
94,154,154,154,3,2016,3.0,1.0,0.0,129.0,,1910.3709677419356,-37.8422,144.949,1300000.0,1,0,0,0,1,0,0,0,1,0,0
95,155,155,155,3,2016,3.0,2.0,2.0,1910.3709677419356,85.0,2000.0,-37.8451,144.9511,1370000.0,1,0,0,0,1,0,0,0,0,1,0
96,156,156,156,2,2016,2.0,1.0,0.0,288.0,,1910.3709677419356,-37.8407,144.9523,1000000.0,1,0,0,0,1,0,0,0,0,1,0
97,158,158,158,3,2016,3.0,2.0,1.0,228.0,,1910.3709677419356,-37.8445,144.9501,2575000.0,1,0,0,0,1,0,0,0,0,1,0
98,159,159,159,2,2016,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,1322500.0,1,0,0,0,1,0,0,0,0,1,0
99,161,161,161,2,2016,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,1562500.0,1,0,0,0,1,0,0,0,0,1,0
100,162,162,162,3,2016,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,2000000.0,1,0,0,0,0,0,0,1,0,1,0
101,165,165,165,3,2017,3.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546,1900000.0,1,0,0,0,1,0,0,0,0,1,0
102,166,166,166,3,2017,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,3010000.0,1,0,0,0,1,0,0,0,0,1,0
103,168,168,168,4,2016,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,2800000.0,1,0,0,0,0,0,0,1,0,1,0
104,170,170,170,2,2016,2.0,1.0,1.0,1910.3709677419356,,1910.3709677419356,-37.846,144.9542,647000.0,0,0,1,0,1,0,0,0,0,1,0
105,172,172,172,3,2016,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,2100000.0,1,0,0,0,0,0,1,0,0,1,0
106,176,176,176,3,2016,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,2000000.0,1,0,0,1,0,0,0,0,0,1,0
107,177,177,177,1,2017,1.0,1.0,0.0,1910.3709677419356,34.0,1970.0,-37.8421,144.9517,442500.0,0,0,1,0,1,0,0,0,0,1,0
108,178,178,178,4,2017,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,4735000.0,1,0,0,0,1,0,0,0,0,1,0
109,179,179,179,2,2017,2.0,1.0,0.0,136.0,,1910.3709677419356,-37.846,144.9517,1340000.0,1,0,0,0,1,0,0,0,0,1,0
110,180,180,180,3,2017,3.0,1.0,1.0,202.0,,1910.3709677419356,-37.8429,144.9493,1801000.0,1,0,0,0,1,0,0,0,1,0,0
111,181,181,181,3,2016,3.0,3.0,1.0,1910.3709677419356,,1910.3709677419356,-37.8415,144.9585,1532000.0,1,0,0,0,1,0,0,0,0,1,0
112,182,182,182,3,2016,3.0,2.0,2.0,325.0,,1910.3709677419356,-37.8413,144.95,3755000.0,1,0,0,0,1,0,0,0,0,1,0
113,183,183,183,4,2016,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,2140000.0,1,0,0,0,1,0,0,0,0,1,0
114,185,185,185,2,2016,2.0,1.0,1.0,162.0,,1910.3709677419356,-37.8416,144.9488,1750000.0,1,0,0,0,1,0,0,0,0,1,0
115,186,186,186,2,2016,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,980000.0,1,0,0,0,1,0,0,0,0,1,0
116,190,190,190,3,2016,3.0,2.0,0.0,152.0,,1910.3709677419356,-37.8488,144.9551,2030000.0,1,0,0,0,1,0,0,0,1,0,0
117,191,191,191,3,2016,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,1740000.0,1,0,0,1,0,0,0,0,0,1,0
118,192,192,192,3,2016,3.0,3.0,1.0,1910.3709677419356,,1910.3709677419356,-37.8399,144.9577,2800000.0,1,0,0,0,0,0,0,1,0,1,0
119,193,193,193,1,2016,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,985000.0,1,0,0,0,1,0,0,0,0,1,0
120,195,195,195,4,2016,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2000000.0,1,0,0,0,1,0,0,0,0,0,1
121,196,196,196,3,2016,3.0,2.0,2.0,208.0,,2013.0,-37.7854,145.0325,1110000.0,1,0,0,0,1,0,0,0,1,0,0
122,197,197,197,3,2017,3.0,2.0,2.0,411.0,,1954.56,-37.7713,145.0279,1492000.0,1,0,0,0,1,0,0,0,1,0,0
123,201,201,201,4,2016,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,1717500.0,1,0,0,0,1,0,0,0,0,1,0
124,202,202,202,5,2016,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,2840000.0,1,0,0,0,1,0,0,0,1,0,0
125,204,204,204,2,2016,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,525500.0,0,0,1,0,1,0,0,0,0,1,0
126,205,205,205,2,2016,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,805000.0,0,1,0,0,1,0,0,0,0,1,0
127,206,206,206,2,2016,2.0,1.0,1.0,1954.56,,1954.56,-37.7773,145.0314,465000.0,0,0,1,0,1,0,0,0,0,1,0
128,209,209,209,3,2016,3.0,3.0,2.0,686.0,,1954.56,-37.78,145.0341,2000000.0,1,0,0,1,0,0,0,0,1,0,0
129,210,210,210,3,2016,3.0,1.0,2.0,592.0,,1954.56,-37.7755,145.0288,1540000.0,1,0,0,0,1,0,0,0,1,0,0
130,213,213,213,2,2017,2.0,1.0,1.0,183.0,,1954.56,-37.7747,145.0264,820000.0,0,0,1,0,1,0,0,0,1,0,0
131,214,214,214,4,2016,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,1830000.0,1,0,0,0,1,0,0,0,1,0,0
132,215,215,215,4,2016,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,2100000.0,1,0,0,0,1,0,0,0,1,0,0
133,216,216,216,3,2016,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,865000.0,1,0,0,0,0,0,1,0,1,0,0
134,217,217,217,2,2016,2.0,1.0,1.0,1954.56,60.0,1960.0,-37.7773,145.0314,390000.0,0,0,1,0,0,0,0,1,1,0,0
135,218,218,218,2,2016,0.0,1.0,0.0,1954.56,,1954.56,-37.7848,145.025,650000.0,0,1,0,0,0,0,1,0,0,0,1
136,219,219,219,2,2017,2.0,1.0,1.0,1954.56,61.0,1965.0,-37.7805,145.0262,512000.0,0,0,1,0,1,0,0,0,0,1,0
137,224,224,224,3,2016,3.0,1.0,2.0,979.0,,1954.56,-37.7792,145.029,1165000.0,1,0,0,0,1,0,0,0,1,0,0
138,226,226,226,4,2016,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,1900000.0,1,0,0,0,0,0,1,0,0,1,0
139,228,228,228,3,2016,3.0,0.0,0.0,597.0,,1954.56,-37.7781,145.0284,1485000.0,1,0,0,0,0,0,1,0,0,1,0
140,229,229,229,4,2016,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,1950000.0,1,0,0,0,1,0,0,0,1,0,0
141,230,230,230,3,2016,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,520000.0,1,0,0,0,0,0,0,1,0,1,0
142,231,231,231,5,2016,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,1525000.0,1,0,0,0,1,0,0,0,0,1,0
143,232,232,232,2,2016,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,720000.0,0,1,0,0,1,0,0,0,1,0,0
144,233,233,233,3,2017,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,1120000.0,1,0,0,0,1,0,0,0,0,0,1
145,234,234,234,4,2016,4.0,1.0,4.0,655.0,,1981.6530612244896,-37.868,144.8154,780000.0,1,0,0,1,0,0,0,0,0,1,0
146,235,235,235,4,2016,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,1780000.0,1,0,0,0,0,0,1,0,0,1,0
147,236,236,236,3,2016,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,630000.0,0,0,1,0,1,0,0,0,0,0,1
148,237,237,237,2,2016,2.0,1.0,1.0,65.0,,1981.6530612244896,-37.8693,144.8171,406000.0,0,0,1,0,0,0,1,0,1,0,0
149,238,238,238,3,2016,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,660000.0,1,0,0,0,0,0,0,1,0,1,0
150,239,239,239,3,2016,3.0,1.0,1.0,530.0,,1981.6530612244896,-37.8594,144.817,683500.0,1,0,0,0,1,0,0,0,0,1,0
151,241,241,241,2,2016,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,580000.0,0,0,1,0,1,0,0,0,0,0,1
152,242,242,242,3,2016,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,1335000.0,1,0,0,0,1,0,0,0,1,0,0
153,243,243,243,3,2016,3.0,2.0,2.0,280.0,,1997.0,-37.8734,144.8143,800000.0,0,1,0,0,0,0,1,0,1,0,0
154,244,244,244,2,2016,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,510000.0,0,0,1,0,1,0,0,0,0,1,0
155,245,245,245,4,2016,4.0,2.0,2.0,695.0,,1981.6530612244896,-37.8733,144.8147,1070000.0,1,0,0,0,1,0,0,0,0,0,1
156,246,246,246,2,2016,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,425000.0,0,0,1,0,1,0,0,0,1,0,0
157,247,247,247,3,2016,3.0,2.0,2.0,230.0,,1981.6530612244896,-37.8646,144.827,605000.0,0,0,1,0,1,0,0,0,0,1,0
158,248,248,248,3,2017,3.0,2.0,2.0,197.0,152.0,1981.6530612244896,-37.8579,144.8181,705000.0,0,1,0,0,1,0,0,0,1,0,0
159,249,249,249,2,2017,2.0,1.0,1.0,1981.6530612244896,65.0,1965.0,-37.8678,144.8384,391000.0,0,0,1,0,0,0,1,0,0,1,0
160,250,250,250,2,2017,2.0,1.0,1.0,1981.6530612244896,,1981.6530612244896,-37.8659,144.831,440000.0,0,0,1,0,0,0,1,0,1,0,0
161,251,251,251,4,2017,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,845000.0,1,0,0,0,1,0,0,0,1,0,0
162,253,253,253,3,2016,3.0,2.0,2.0,211.0,176.0,1981.6530612244896,-37.8698,144.816,743000.0,0,1,0,0,0,0,1,0,0,0,1
163,255,255,255,3,2016,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,730000.0,0,0,1,0,0,0,1,0,0,0,1
164,257,257,257,3,2016,3.0,1.0,4.0,625.0,,1960.0,-37.8611,144.8114,635000.0,1,0,0,0,1,0,0,0,0,1,0
165,258,258,258,2,2016,2.0,1.0,1.0,168.0,,1981.6530612244896,-37.8676,144.8202,620000.0,0,0,1,0,0,0,1,0,1,0,0
166,259,259,259,2,2016,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,447000.0,0,0,1,0,1,0,0,0,0,1,0
167,260,260,260,3,2016,3.0,2.0,1.0,70.0,,1981.6530612244896,-37.868,144.8287,730000.0,0,0,1,0,0,0,1,0,0,0,1
168,261,261,261,3,2016,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,678000.0,1,0,0,0,1,0,0,0,1,0,0
169,262,262,262,2,2016,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,580000.0,0,0,1,1,0,0,0,0,0,1,0
170,263,263,263,3,2016,3.0,1.0,2.0,363.0,,1981.6530612244896,-37.8674,144.8375,712000.0,1,0,0,0,1,0,0,0,1,0,0
171,264,264,264,3,2017,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,840000.0,1,0,0,0,0,0,1,0,0,1,0
172,265,265,265,3,2016,3.0,1.0,2.0,724.0,,1981.6530612244896,-37.8672,144.817,980000.0,1,0,0,0,1,0,0,0,0,0,1
173,267,267,267,3,2016,3.0,2.0,0.0,265.0,,1981.6530612244896,-37.8583,144.8172,605100.0,0,1,0,0,1,0,0,0,1,0,0
174,268,268,268,3,2016,3.0,3.0,1.0,577.0,,1981.6530612244896,-37.8699,144.8235,880000.0,1,0,0,1,0,0,0,0,0,0,1
175,269,269,269,3,2016,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,577000.0,0,0,1,0,1,0,0,0,0,1,0
176,271,271,271,4,2017,4.0,1.0,0.0,797.0,,1981.6530612244896,-37.8663,144.8387,1030000.0,1,0,0,0,1,0,0,0,0,0,1
177,272,272,272,3,2017,3.0,1.0,2.0,181.0,,1981.6530612244896,-37.8659,144.822,605000.0,0,0,1,0,1,0,0,0,0,0,1
178,275,275,275,3,2016,3.0,2.0,2.0,529.0,,1981.6530612244896,-37.8612,144.8247,753000.0,1,0,0,0,1,0,0,0,0,0,1
